Generated by pymatgen.io.lammps.data.LammpsData

161  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

2     1  1  0.005032  0.005032  2.863398
11    1  1  0.010772  2.854295  0.004076
101   1  1  2.854295  0.010772  0.004076
112   1  1  2.854419  2.854419  2.855348
1001  1  1  1.428438  1.428438  1.431432
201   1  1  5.711351  0.001014  0.001219
1101  1  1  4.282046  1.430617  1.428206
1801  1  1 24.295452  1.406176  1.402338
811   1  1 22.843530  2.855992  0.002832
12    1  1 28.552044  2.854985  2.855550
902   1  1 25.698772  0.002755  2.852103
911   1  1 25.697137  2.859218  0.000652
912   1  1 25.694958  2.855992  2.854260
1901  1  1 27.114803  1.431862  1.426509
21    1  1  0.001014  5.711351  0.001219
1011  1  1  1.430617  4.282046  1.428206
1111  1  1  4.273520  4.273520  1.419050
1811  1  1 24.271157  4.283134  1.426633
921   1  1 25.695831  5.713714  0.001959
1911  1  1 27.126651  4.283336  1.427199
1081  1  1  1.406176 24.295452  1.402338
181   1  1  2.855992 22.843530  0.002832
1181  1  1  4.283134 24.271157  1.426633
981   1  1 25.696368 22.844360  0.001421
1981  1  1 27.134191 24.286731  1.411058
102   1  1  2.854985 28.552044  2.855550
92    1  1  0.002755 25.698772  2.852103
191   1  1  2.859218 25.697137  0.000652
192   1  1  2.855992 25.694958  2.854260
1091  1  1  1.431862 27.114803  1.426509
291   1  1  5.713714 25.695831  0.001959
1191  1  1  4.283336 27.126651  1.427199
891   1  1 22.844360 25.696368  0.001421
1891  1  1 24.286731 27.134191  1.411058
992   1  1 25.696368 25.696368  2.853429
1991  1  1 27.123793 27.123793  1.472129
1     1  1 28.544530 28.544530  0.064979
1002  1  1  1.429745  1.429745  4.285929
118   1  1  2.853364  2.853364 19.990216
1007  1  1  1.427224  1.427224 18.560108
18    1  1 28.551606  2.852462 19.990224
908   1  1 25.696571  0.001014 19.986438
918   1  1 25.699060  2.853346 19.989612
1907  1  1 27.124941  1.427227 18.559387
28    1  1 28.552318  5.706485 19.991304
108   1  1  2.852462 28.551606 19.990224
98    1  1  0.001014 25.696571 19.986438
198   1  1  2.853346 25.699060 19.989612
1097  1  1  1.427227 27.124941 18.559387
208   1  1  5.706485 28.552318 19.991304
8     1  1 28.552737 28.552737 19.984565
998   1  1 25.695831 25.695831 19.984075
1997  1  1 27.124702 27.124702 18.558461
9     1  1  0.001782  0.001782 22.797875
119   1  1  2.836270  2.836270 22.861520
1008  1  1  1.429207  1.429207 21.416575
1009  1  1  1.382539  1.382539 24.315251
219   1  1  5.707574  2.853364 22.844425
1108  1  1  4.274834  1.423272 21.422956
1109  1  1  4.281215  1.429207 24.268582
1209  1  1  7.137682  1.427224 24.270565
819   1  1 22.842442  2.854419 22.843371
1709  1  1 21.411861  1.429745 24.268045
1808  1  1 24.269583  1.430618 21.415744
1809  1  1 24.266358  1.428438 24.269351
19    1  1 28.544505  2.838844 22.858946
909   1  1 25.693714  0.010772 22.843495
919   1  1 25.719399  2.830124 22.867666
1908  1  1 27.122820  1.426804 21.417901
1909  1  1 27.180611  1.341093 24.356697
129   1  1  2.853364  5.707574 22.844425
1018  1  1  1.423272  4.274834 21.422956
1019  1  1  1.429207  4.281215 24.268582
1029  1  1  1.427224  7.137682 24.270565
1118  1  1  4.274142  4.274142 21.423648
1119  1  1  4.274834  4.274834 24.274518
1818  1  1 24.278740  4.273520 21.424270
1819  1  1 24.269583  4.282046 24.267172
29    1  1 28.551606  5.707566 22.845328
929   1  1 25.699060  5.708177 22.844444
1918  1  1 27.125108  4.276162 21.421628
1919  1  1 27.122820  4.279889 24.270986
1929  1  1 27.124941  7.138402 24.270563
189   1  1  2.854419 22.842442 22.843371
1079  1  1  1.429745 21.411861 24.268045
1088  1  1  1.430618 24.269583 21.415744
1089  1  1  1.428438 24.266358 24.269351
1188  1  1  4.273520 24.278740 21.424270
1189  1  1  4.282046 24.269583 24.267172
1888  1  1 24.271157 24.271157 21.414656
1889  1  1 24.295452 24.295452 24.291613
89    1  1 28.552044 22.842240 22.842805
989   1  1 25.694958 22.843530 22.841798
1988  1  1 27.126651 24.270591 21.414454
1989  1  1 27.114803 24.271281 24.265928
109   1  1  2.838844 28.544505 22.858946
99    1  1  0.010772 25.693714 22.843495
199   1  1  2.830124 25.719399 22.867666
1098  1  1  1.426804 27.122820 21.417901
1099  1  1  1.341093 27.180611 24.356697
209   1  1  5.707566 28.551606 22.845328
299   1  1  5.708177 25.699060 22.844444
1198  1  1  4.276162 27.125108 21.421628
1199  1  1  4.279889 27.122820 24.270986
1299  1  1  7.138402 27.124941 24.270563
809   1  1 22.842240 28.552044 22.842805
899   1  1 22.843530 25.694958 22.841798
1898  1  1 24.270591 27.126651 21.414454
1899  1  1 24.271281 27.114803 24.265928
