Generated by pymatgen.io.lammps.data.LammpsData

161  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1    0  1 -1.048155 -1.048155  1.048155
2    0  1  1.048155  1.048155 -1.048155
3    0  1 -1.006709 -1.006709 -1.706892
4    0  1 -1.006709  1.706892  1.006709
5    0  1  1.706892 -1.006709  1.006709
6    0  1 -2.565532  0.332601 -0.332601
7    0  1  0.332601 -2.565532 -0.332601
8    0  1  0.332601  0.332601  2.565532
9    0  1 -1.158382  1.753338 -1.753338
10   0  1  1.753338 -1.158382 -1.753338
11   0  1  1.753338  1.753338  1.158382
12   0  1  0.342973  0.342973 -3.254693
13   0  1  0.342973  3.254693 -0.342973
14   0  1  3.254693  0.342973 -0.342973
15   0  1 -2.504461 -2.504461 -0.342999
16   0  1 -2.504461  0.342999  2.504461
17   0  1  0.342999 -2.504461  2.504461
18   0  1 -2.519911  0.323611 -3.193789
19   0  1 -2.519911  3.193789 -0.323611
20   0  1  0.323611 -2.519911 -3.193789
21   0  1  0.323611  3.193789  2.519911
22   0  1  3.193789 -2.519911 -0.323611
23   0  1  3.193789  0.323611  2.519911
24   0  1 -2.501886 -2.501886  2.501886
25   0  1 -3.946832 -1.094824  1.094824
26   0  1 -1.094824 -3.946832  1.094824
27   0  1 -1.094824 -1.094824  3.946832
28   0  1  0.389419  3.103020 -3.103020
29   0  1  3.103020  0.389419 -3.103020
30   0  1  3.103020  3.103020 -0.389419
31   0  1 -3.945506 -1.092421 -1.764683
32   0  1 -3.945506  1.764683  1.092421
33   0  1 -1.092421 -3.945506 -1.764683
34   0  1 -1.092421  1.764683  3.945506
35   0  1  1.764683 -3.945506  1.092421
36   0  1  1.764683 -1.092421  3.945506
37   0  1 -3.956800  1.766960 -1.766960
38   0  1  1.766960 -3.956800 -1.766960
39   0  1  1.766960  1.766960  3.956800
40   0  1 -2.495741 -2.495741 -3.168104
41   0  1 -2.495741  3.168104  2.495741
42   0  1  3.168104 -2.495741  2.495741
43   0  1 -1.094055 -1.094055 -4.621145
44   0  1 -1.094055  4.621145  1.094055
45   0  1  4.621145 -1.094055  1.094055
46   0  1 -1.097478  1.772700 -4.616222
47   0  1 -1.097478  4.616222 -1.772700
48   0  1  1.772700 -1.097478 -4.616222
49   0  1  1.772700  4.616222  1.097478
50   0  1  4.616222 -1.097478 -1.772700
51   0  1  4.616222  1.772700  1.097478
52   0  1  3.144466  3.144466 -3.144466
53   0  1 -2.524835  3.190366 -3.190366
54   0  1  3.190366 -2.524835 -3.190366
55   0  1  3.190366  3.190366  2.524835
56   0  1 -5.378841  0.334766 -0.334766
57   0  1  0.334766 -5.378841 -0.334766
58   0  1  0.334766  0.334766  5.378841
59   0  1  1.763710  1.763710 -4.661843
60   0  1  1.763710  4.661843 -1.763710
61   0  1  4.661843  1.763710 -1.763710
62   0  1 -3.940451 -3.940451  1.088889
63   0  1 -3.940451 -1.088889  3.940451
64   0  1 -1.088889 -3.940451  3.940451
65   0  1 -3.941779 -3.941779 -1.762395
66   0  1 -3.941779  1.762395  3.941779
67   0  1  1.762395 -3.941779  3.941779
68   0  1 -5.373183 -2.518079 -0.335897
69   0  1 -5.373183  0.335897  2.518079
70   0  1 -2.518079 -5.373183 -0.335897
71   0  1 -2.518079  0.335897  5.373183
72   0  1  0.335897 -5.373183  2.518079
73   0  1  0.335897 -2.518079  5.373183
74   0  1  0.329351  0.329351 -6.053111
75   0  1  0.329351  6.053111 -0.329351
76   0  1  6.053111  0.329351 -0.329351
77   0  1 -3.947662 -1.096234 -4.617920
78   0  1 -3.947662  4.617920  1.096234
79   0  1 -1.096234 -3.947662 -4.617920
80   0  1 -1.096234  4.617920  3.947662
81   0  1  4.617920 -3.947662  1.096234
82   0  1  4.617920 -1.096234  3.947662
83   0  1 -3.948953  1.760852 -4.616912
84   0  1 -3.948953  4.616912 -1.760852
85   0  1  1.760852 -3.948953 -4.616912
86   0  1  1.760852  4.616912  3.948953
87   0  1  4.616912 -3.948953 -1.760852
88   0  1  4.616912  1.760852  3.948953
89   0  1 -5.376968  0.333369 -3.190933
90   0  1 -5.376968  3.190933 -0.333369
91   0  1  0.333369 -5.376968 -3.190933
92   0  1  0.333369  3.190933  5.376968
93   0  1  3.190933 -5.376968 -0.333369
94   0  1  3.190933  0.333369  5.376968
95   0  1 -5.373190 -2.518981  2.518981
96   0  1 -2.518981 -5.373190  2.518981
97   0  1 -2.518981 -2.518981  5.373190
98   0  1 -2.520602  0.335459 -6.045263
99   0  1 -2.520602  6.045263 -0.335459
100  0  1  0.335459 -2.520602 -6.045263
101  0  1  0.335459  6.045263  2.520602
102  0  1  6.045263 -2.520602 -0.335459
103  0  1  6.045263  0.335459  2.520602
104  0  1 -1.071793  4.592052 -4.592052
